-0.6000000E+01 -0.6000000E+01  0.5152176-173
 0.1151515E+01 -0.5636364E+01  0.3457810E-75
 0.1272727E+01 -0.5636364E+01  0.4205733E-75
 0.1393939E+01 -0.5636364E+01  0.5145962E-75
 0.1515152E+01 -0.5636364E+01  0.6117628E-75
 0.1636364E+01 -0.5636364E+01  0.6832411E-75
 0.1757576E+01 -0.5636364E+01  0.7123101E-75
 0.1878788E+01 -0.5636364E+01  0.7110474E-75
 0.2000000E+01 -0.5636364E+01  0.7062147E-75
 0.2121212E+01 -0.5636364E+01  0.7110474E-75
 0.2242424E+01 -0.5636364E+01  0.7123101E-75
 0.2363636E+01 -0.5636364E+01  0.6832411E-75
 0.2484848E+01 -0.5636364E+01  0.6117628E-75
 0.2606061E+01 -0.5636364E+01  0.5145962E-75
 0.2727273E+01 -0.5636364E+01  0.4205733E-75
 0.2848485E+01 -0.5636364E+01  0.3457810E-75
 0.2969697E+01 -0.5636364E+01  0.2873421E-75
 0.3090909E+01 -0.5636364E+01  0.2342420E-75
 0.3212121E+01 -0.5636364E+01  0.1805012E-75
 0.3333333E+01 -0.5636364E+01  0.1295803E-75
 0.3454545E+01 -0.5636364E+01  0.8827275E-76
 0.3575758E+01 -0.5636364E+01  0.5927667E-76
 0.3696970E+01 -0.5636364E+01  0.4029505E-76
 0.3818182E+01 -0.5636364E+01  0.2746447E-76
 0.3939394E+01 -0.5636364E+01  0.1809481E-76
 0.4060606E+01 -0.5636364E+01  0.1116765E-76
 0.4181818E+01 -0.5636364E+01  0.6441787E-77
 0.4303030E+01 -0.5636364E+01  0.3573194E-77
 0.4424242E+01 -0.5636364E+01  0.1979751E-77
 0.4545455E+01 -0.5636364E+01  0.1111984E-77
 0.4666667E+01 -0.5636364E+01  0.6192795E-78
 0.4787879E+01 -0.5636364E+01  0.3292068E-78
 0.4909091E+01 -0.5636364E+01  0.1634654E-78
 0.5030303E+01 -0.5636364E+01  0.7659783E-79
 0.5151515E+01 -0.5636364E+01  0.3502684E-79
 0.5272727E+01 -0.5636364E+01  0.1605785E-79
 0.5393939E+01 -0.5636364E+01  0.7307508E-80
 0.5515152E+01 -0.5636364E+01  0.3147553E-80
 0.5636364E+01 -0.5636364E+01  0.1209154E-80
