 0.6040000E+02  0.3156851E+02 -0.3972504E+01  0.1511170E+02  0.4270771E+02
 0.6080000E+02  0.3142616E+02 -0.3972375E+01  0.1511266E+02  0.4256644E+02
 0.6120000E+02  0.3128427E+02 -0.3972245E+01  0.1511358E+02  0.4242561E+02
 0.6160000E+02  0.3114286E+02 -0.3972115E+01  0.1511447E+02  0.4228521E+02
 0.6200000E+02  0.3100194E+02 -0.3971985E+01  0.1511534E+02  0.4214530E+02
 0.6240000E+02  0.3086151E+02 -0.3971854E+01  0.1511624E+02  0.4200590E+02
 0.6280000E+02  0.3072158E+02 -0.3971722E+01  0.1511707E+02  0.4186693E+02
 0.6320000E+02  0.3058216E+02 -0.3971590E+01  0.1511795E+02  0.4172852E+02
 0.6360000E+02  0.3044325E+02 -0.3971458E+01  0.1511879E+02  0.4159058E+02
 0.6400000E+02  0.3030487E+02 -0.3971326E+01  0.1511960E+02  0.4145314E+02
 0.6440000E+02  0.3016701E+02 -0.3971193E+01  0.1512041E+02  0.4131623E+02
 0.6480000E+02  0.3002968E+02 -0.3971059E+01  0.1512127E+02  0.4117990E+02
 0.6520000E+02  0.2989289E+02 -0.3970926E+01  0.1512202E+02  0.4104399E+02
 0.6560000E+02  0.2975665E+02 -0.3970791E+01  0.1512282E+02  0.4090868E+02
 0.6600000E+02  0.2962096E+02 -0.3970657E+01  0.1512363E+02  0.4077393E+02
 0.6640000E+02  0.2948582E+02 -0.3970522E+01  0.1512443E+02  0.4063973E+02
 0.6680000E+02  0.2935123E+02 -0.3970387E+01  0.1512525E+02  0.4050610E+02
 0.6720000E+02  0.2921721E+02 -0.3970251E+01  0.1512594E+02  0.4037290E+02
 0.6760000E+02  0.2908375E+02 -0.3970115E+01  0.1512671E+02  0.4024035E+02
 0.6800000E+02  0.2895087E+02 -0.3969979E+01  0.1512747E+02  0.4010836E+02
 0.6840000E+02  0.2881855E+02 -0.3969842E+01  0.1512824E+02  0.3997694E+02
 0.6880000E+02  0.2868681E+02 -0.3969705E+01  0.1512900E+02  0.3984610E+02
 0.6920000E+02  0.2855565E+02 -0.3969568E+01  0.1512977E+02  0.3971585E+02
 0.6960000E+02  0.2842507E+02 -0.3969430E+01  0.1513057E+02  0.3958621E+02
 0.7000000E+02  0.2829507E+02 -0.3969292E+01  0.1513119E+02  0.3945697E+02
 0.7040000E+02  0.2816566E+02 -0.3969153E+01  0.1513197E+02  0.3932848E+02
 0.7080000E+02  0.2803683E+02 -0.3969014E+01  0.1513270E+02  0.3920052E+02
 0.7120000E+02  0.2790860E+02 -0.3968875E+01  0.1513337E+02  0.3907309E+02
 0.7160000E+02  0.2778096E+02 -0.3968736E+01  0.1513406E+02  0.3894628E+02
 0.7200000E+02  0.2765391E+02 -0.3968596E+01  0.1513480E+02  0.3882011E+02
 0.7240000E+02  0.2752746E+02 -0.3968456E+01  0.1513553E+02  0.3869453E+02
 0.7280000E+02  0.2740160E+02 -0.3968316E+01  0.1513621E+02  0.3856949E+02
 0.7320000E+02  0.2727634E+02 -0.3968175E+01  0.1513687E+02  0.3844503E+02
 0.7360000E+02  0.2715167E+02 -0.3968034E+01  0.1513762E+02  0.3832126E+02
 0.7400000E+02  0.2702761E+02 -0.3967892E+01  0.1513837E+02  0.3819809E+02
 0.7440000E+02  0.2690414E+02 -0.3967751E+01  0.1513895E+02  0.3807534E+02
 0.7480000E+02  0.2678128E+02 -0.3967609E+01  0.1513962E+02  0.3795329E+02
 0.7520000E+02  0.2665902E+02 -0.3967466E+01  0.1514035E+02  0.3783190E+02
 0.7560000E+02  0.2653736E+02 -0.3967324E+01  0.1514096E+02  0.3771099E+02
 0.7600000E+02  0.2641629E+02 -0.3967181E+01  0.1514166E+02  0.3759078E+02
 0.7640000E+02  0.2629584E+02 -0.3967038E+01  0.1514239E+02  0.3747118E+02
 0.7680000E+02  0.2617598E+02 -0.3966894E+01  0.1514308E+02  0.3735216E+02
 0.7720000E+02  0.2605672E+02 -0.3966750E+01  0.1514371E+02  0.3723368E+02
 0.7760000E+02  0.2593807E+02 -0.3966606E+01  0.1514440E+02  0.3711586E+02
